!,"""",',(),",",-,.,/,:,;,<,>,?,[],a,all,an,and,as,at,but,by,for,from,he,her,him,his,however,i,if,in,it,more,no,not,of,on,one,or,out,she,that,the,their,there,they,this,to,we,when,which,who,with,you,{},cc,cd,dt,ex,fw,in,jj,jjr,jjs,ls,md,nn,nnp,nnps,nns,pdt,pos,prp,prp$,rb,rbr,rbs,rp,sym,to,uh,vb,vbd,vbg,vbn,vbp,vbz,wdt,wp,wp$,wrb,"for example","for instance",such as,Total Words,Avg Word Length,Avg Sent Length,Text
0,0,0,0,10,0,5,0,1,0,0,0,0,0,1,0,3,2,5,1,0,0,1,1,2,0,0,1,0,0,0,4,0,0,1,0,5,0,1,0,0,0,0,6,0,1,0,3,2,0,0,0,0,3,0,0,2,3,15,1,1,21,20,0,0,0,0,26,0,0,9,0,1,4,0,5,0,1,0,0,2,0,1,5,4,3,0,1,0,0,0,0,0,0,0,123,6.146341463414634,24.6,"In one of his most famous seminars, the twentieth (Encore, 1972–1973), he theorized sexual difference as “sexuation,” depicting the non-biological, denaturalized subject-positions of masculinity and femininity in terms of formal logic. Therein, he purported to uncover an inherent, ineliminable structural discrepancy/gap separating the sexes, an inescapable condemnation of sexed subjects to being essentially, necessarily out-of-sync with each other (and even with themselves as split subjects). Lacan summarized this with an infamous one-liner: “Il n'y a pas de rapport sexuel” (There is no sexual relationship). This declaration scandalized many at the time. Moreover, the twentieth seminar in particular as well as connected portions of Lacan's corpus from this same period served as powerful catalysts for crucial developments in French feminist thinking during the 1970s."
0,0,0,0,6,0,3,0,0,0,0,0,0,0,2,0,1,3,2,1,0,0,1,0,1,0,0,4,0,0,0,4,0,0,0,0,6,1,0,0,0,0,0,10,0,0,0,1,2,0,0,1,0,0,0,0,3,3,14,0,0,18,15,0,0,0,0,37,0,0,8,0,4,5,0,0,0,0,0,0,2,0,1,4,1,1,1,1,1,0,0,0,0,0,0,116,5.310344827586207,29.0,"In 1980, near the end of his life, Lacan saw fit to disband his school, the École freudienne. This decision was controversial and triggered factional infighting amongst his followers. Lacan died in 1981. His son-in-law and editor of le Séminaire, Jacques-Alain Miller—when he was a student of Althusser's at the ENS, Miller met Lacan for the first time in 1964 as an attendee of Lacan's eleventh seminar—founded the École de la Cause freudienne as a successor to the École freudienne on the heels of the latter's “dissolution.” Miller has since retained publishing control over Lacan's texts, editing the Champ freudien book series in which official “established” versions of the annual seminars and other Lacanian writings appear."
0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,0,1,3,1,2,0,1,1,2,1,0,1,2,0,0,0,5,0,0,0,0,4,0,0,0,0,0,1,7,2,0,0,0,3,0,1,0,0,1,0,0,3,3,14,0,0,18,11,1,2,0,0,30,1,0,9,0,0,6,0,4,0,0,1,0,3,0,2,6,5,3,1,0,1,0,0,1,0,0,0,124,5.016129032258065,41.333333333333336,"Xander Bogaerts was 17 when he and his twin brother, Jair, were sent to the Dominican Summer League in 2010, new Boston Red Sox prospects learning Spanish and being away from their family for the first time yet facing the biggest test of their young careers. The next year, the previously inseparable twins had to split up as Xander advanced to low-Class A ball in Greenville, S.C., virtually another world from his hometown of San Nicolas, Aruba. Through every minor league stop in a quick ascent that saw him land in the majors in mid-August, Bogaerts handled the challenge of being surrounded by older players with a quiet confidence and remarkable poise, registering an on-base-plus-slugging percentage (OPS) of at least .815 at every level."
0,0,2,0,4,0,4,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,4,1,0,1,0,0,1,12,0,0,0,0,3,1,0,0,0,1,0,0,4,4,16,0,0,17,7,3,0,0,0,37,0,0,10,0,3,3,0,3,0,0,1,0,3,0,2,4,5,2,0,3,0,0,0,0,0,0,0,124,4.879032258064516,31.0,"With that precociousness in mind, the Red Sox took the rare step of thrusting a 20-year-old rookie shortstop into the middle of a playoff race. Bogaerts is the third-youngest player in the majors, 15 days older than the Washington Nationals' Bryce Harper and about five months older than the Texas Rangers' Jurickson Profar. Bogaerts also is Boston's first position player age 20 or younger since outfielder Dwight Evans in 1972. ""Knowing the talent and the ability he was showing in Triple-A and knowing the makeup, we felt pretty good about it,"" Red Sox director of player development Ben Crockett says of calling up the highly touted prospect to play a backup role as Boston tries to hold on to the American League East lead. "
0,0,2,0,8,0,7,0,0,0,0,0,0,0,7,0,0,8,2,0,1,0,1,0,9,0,2,4,0,0,0,3,1,0,0,0,3,3,1,1,0,0,2,9,0,0,0,0,6,0,1,0,0,1,0,0,11,9,17,0,0,16,11,0,2,0,1,44,2,0,15,0,2,16,0,2,0,0,0,0,6,0,5,10,0,6,0,4,2,0,0,2,0,0,0,181,4.585635359116022,25.857142857142858,"""He brings a maturity beyond his years that allows him to operate in these environments where he's the youngest player or one of the youngest."" Bogaerts batted a combined .297 with 15 home runs, 67 RBI and a .865 OPS between Class AA and AAA, made his major league debut Aug. 20 and got his first big-league hit four days later. The fast climb to the majors, his standout season and obvious tools made Bogaerts' the logical choice as USA TODAY Sports' Minor League Player of the Year, following2012 winner Wil Myers and 2011 honoree Paul Goldschmidt. Bogaerts was thrilled when he heard of the award, but he also pondered whether he would have progressed quicker in a different setting. As a youngster in Aruba, he was happy for the chance to play baseball on a barren field Saturdays and Sundays. He had school and other sports — basketball, soccer and volleyball — to keep him busy, plus baseball practice on weekdays. It wasn't until he was sent to the Dominican league that he got to play on a daily basis."
0,0,0,0,2,0,4,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,2,1,0,0,1,0,0,0,2,2,6,0,0,4,2,0,0,0,1,8,1,0,1,0,0,6,0,7,1,0,0,0,2,0,2,5,1,1,1,2,0,1,0,0,0,0,0,55,4.036363636363636,13.75,"""I wonder if I would have been better if I played every day like in the U.S.,"" Bogaerts says. ""And the quality is not the same. We never had a guy who threw 90 (mph). Then I went to the Dominican Summer League and everybody was throwing hard, so I had to adjust really quick."""
0,0,2,0,2,0,3,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,2,0,0,1,0,0,0,2,1,0,0,0,2,1,1,0,0,0,1,7,0,0,0,0,3,0,1,1,0,0,0,0,2,2,9,0,0,8,3,1,0,0,1,15,0,0,9,0,1,4,0,2,0,0,0,0,3,0,2,6,0,3,1,2,1,0,0,1,0,0,0,75,4.76,25.0,"The ability to adjust has been one of Bogaerts' strong suits and will prove a necessity in the majors. It was on display when he played for the Netherlands team that made a surprising run to the semifinals of the World Baseball Classic in March. The Dutch team had five shortstops, so manager Hensley Meulens tabbed the Atlanta Braves' Andrelton Simmons as his starter and shifted Bogaerts to third base, which he had never played."
0,0,0,0,5,0,6,0,0,0,0,0,1,0,3,0,0,5,0,3,1,0,0,0,3,0,2,2,0,0,0,1,3,1,0,0,3,0,0,0,0,0,0,5,0,1,0,1,3,0,0,0,0,1,1,0,7,4,9,1,0,11,8,1,0,0,1,19,0,0,7,0,0,11,0,6,0,0,1,0,3,0,6,3,3,1,0,7,0,1,0,1,0,0,0,108,4.861111111111111,15.428571428571429,"""He was very quick to adjust and pick it up,"" Meulens says. ""It only took him a couple of days to get comfortable over there. You could see the athleticism was the reason why."" Staying at shortstop? At 6-3 and 185 pounds, Bogaerts has above-average power and arm strength, plus a pretty good notion of what he's doing at the plate (63 walks, 95 strikeouts this season in the minors). He's more advanced offensively than with the glove, but his superior athleticism and work ethic have allowed him to make major progress defensively. Crockett says now it's a matter of polishing his fielding skills through repetition and experience."
0,0,1,0,5,0,5,0,0,0,0,0,0,0,3,0,0,2,0,1,0,1,0,2,1,0,1,1,0,4,2,0,0,0,0,0,1,0,0,1,0,0,0,5,0,1,0,0,5,0,0,0,0,1,1,0,3,1,8,1,0,11,7,0,0,0,4,14,0,0,6,0,1,9,0,8,0,0,0,0,5,0,6,3,1,4,2,1,0,0,0,1,0,0,0,97,4.278350515463917,19.4,"""If you saw the way I started compared to now, I would probably give myself a few Gold Gloves (by comparison),"" Bogaerts says, laughing. ""I was really bad. So if I can get from there to here and make so much improvement, imagine from now to a few years down the road."" Scouts have raised the question of whether Bogaerts' long-term future will be at shortstop. With his size and 30-home run potential, he could slide over to third base — where the Red Sox have used him a few times — or convert to the outfield."
0,0,2,0,5,0,10,0,1,0,0,0,0,0,5,0,2,6,1,2,1,0,0,0,5,0,0,0,0,2,0,2,2,0,0,1,3,0,1,1,0,0,0,5,0,1,0,2,3,0,0,0,3,0,0,0,8,5,16,1,0,11,20,0,1,0,2,34,1,0,6,0,1,10,0,7,0,0,0,0,3,0,8,5,1,3,5,10,0,3,0,0,0,0,1,151,4.662251655629139,15.1,"At one point or another, such suggestions have been made in the past about big shortstops including Cal Ripken Jr., Troy Tulowitzki and Hanley Ramirez, who is Bogaerts' favorite player and the last Red Sox prospect to exhibit the same kind of five-tool package at such an early age. But offensive performers who can play a prime position such as shortstop are rare and extremely valuable, and Red Sox second baseman Dustin Pedroia is among those who think size should not be an issue. ""He's a great athlete. He moves well. He's quick. He's got a ton of ability,"" Pedroia says of Bogaerts. ""I didn't know there was a height and weight requirement. I didn't know it was like a Disney ride: 'You have to be this tall to play this position.' ""Troy Tulowitzki is 6-5 (actually 6-3) and he's the best defensive shortstop in the big leagues. It doesn't matter."""
0,0,0,0,9,0,5,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,1,1,1,2,0,0,0,2,5,0,0,1,0,3,2,0,0,1,1,0,0,2,2,7,0,0,12,8,0,0,0,0,21,0,0,11,0,1,3,0,3,0,0,0,0,3,0,3,3,0,3,3,3,1,1,0,0,0,0,0,88,4.75,17.6,"Bogaerts is the first player from Aruba to play for the Red Sox and the fifth overall to reach the majors. Baseball in Aruba is not as developed as in neighboring Curacao, a fellow former Dutch Antille that has produced Andruw Jones, Randall Simon, Kenley Jansen, Jair Jurrjens, Meulens, Simmons and Profar, among others. ""In Aruba we don't have stadiums with grass,"" said Bogaerts, who was used to playing on rocky fields. ""A few years back they made one of artificial turf. That's the only one we have."""
0,0,0,0,8,0,6,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,1,1,1,1,2,0,0,0,0,3,1,0,0,0,1,1,0,0,0,0,1,8,4,0,2,0,1,0,1,0,3,2,0,0,2,1,13,0,0,16,10,1,0,0,0,31,0,0,13,0,0,11,0,4,0,0,2,0,1,0,1,9,0,2,2,2,0,3,0,1,0,0,0,123,4.894308943089431,20.5,"The Bogaerts brothers learned the game under the tutelage of their uncle Glenroy Brown, who became a father figure when they were about 2 after their parents split up. Even though their father, Jan Bogaerts, moved away to pursue business interests in Hong Kong — Xander Bogaerts said he hadn't seen him in years — the twins and older sister Chandra grew up in a stable environment. Their mother, Sandra Brown, a social worker who deals with domestic violence issues, kept the family grounded with help from Glenroy. Bogaerts credits her for the poise and maturity that characterize him. ""It's a great Christian family. They're really solid,"" says Mike Lord, the former Red Sox scout who signed both brothers on the same day."
